species_male	species_female	species_name
s	s	s
human_male	human_female	human
bothan_male	bothan_female	bothan
moncal_male	moncal_female	moncal
rodian_male	rodian_female	rodian
trandoshan_male	trandoshan_female	trandoshan
twilek_male	twilek_female	twilek
wookiee_male	wookiee_female	wookiee
zabrak_male	zabrak_female	zabrak
abyssin_male	abyssin_female	abyssin
aqualish_male	aqualish_female	aqualish
arcona_male	arcona_female	arcona
bith_male	bith_female	bith
cerean_male	cerean_female	cerean
chiss_male	chiss_female	chiss
devaronian_male	devaronian_female	devaronian
duros_male	duros_female	duros
gotal_male	gotal_female	gotal
gran_male	gran_female	gran
hutt_male	hutt_female	hutt
iktotchi_male	iktotchi_female	iktotchi
ishi_tib_male	ishi_tib_female	ishi_tib
ishitib_male	ishitib_female	ishitib
jenet_male	jenet_female	jenet
kadassa_male	kadassa_female	kadassa
kel_dor_male	kel_dor_female	kel_dor
klatooinian_male	klatooinian_female	klatooinian
kubaz_male	kubaz_female	kubaz
marauder_male	marauder_female	marauder
nautolan_male	nautolan_female	nautolan
nightsister_male	nightsister_female	nightsister
nikto_male	nikto_female	nikto
quarren_male	quarren_female	quarren
talz_male	talz_female	talz
togruta_male	togruta_female	togruta
smc_male	smc_female	smc
weequay_male	weequay_female	weequay
