Gender Species	Species Enumeration	Gender Enumeration
s	I	I
Male Human	0	0
Female Human	0	1
Male Rodian	1	0
Female Rodian	1	1
Male MonCal	3	0
Female MonCal	3	1
Male Wookiee	4	0
Female Wookiee	4	1
Male Twi'lek	6	0
Female Twi'lek	6	1
Male Trandoshan	2	0
Female Trandoshan	2	1
Male Zabrak	7	0
Female Zabrak	7	1
Male Bothan	5	0
Female Bothan	5	1
Male Ithorian	33	0
Female Ithorian	33	1
Male Sullustan	49	0
Female Sullustan	49	1
Male Abyssin	8	0
Female Abyssin	8	1
Male Aqualish	9	0
Female Aqualish	9	1
Male Arcona	10	0
Female Arcona	10	1
Male Bith	12	0
Female Bith	12	1
Male Cerean	235	0
Female Cerean	235	1
Male Chiss	230	0
Female Chiss	230	1
Male Devaronian	17	0
Female Devaronian	17	1
Male Duros	20	0
Female Duros	20	1
Male Gotal	27	0
Female Gotal	27	1
Male Gran	28	0
Female Gran	28	1
Male Hutt	31	0
Female Hutt	31	1
Male Iktotchi	241	0
Female Iktotchi	241	1
Male IshiTib	32	0
Female IshiTib	32	1
Male Jenet	237	0
Female Jenet	237	1
Male Kadassa	238	0
Female Kadassa	238	1
Male Kel_Dor	236	0
Female Kel_Dor	236	1
Male Klatooinian	37	0
Female Klatooinian	37	1
Male Kubaz	39	0
Female Kubaz	39	1
Male Marauder	40	0
Female Marauder	40	1
Male Nautolan	231	0
Female Nautolan	231	1
Male Nightsister	232	0
Female Nightsister	232	1
Male Nikto	42	0
Female Nikto	42	1
Male Quarren	46	0
Female Quarren	46	1
Male SMC	233	0
Female SMC	233	1
Male Talz	50	0
Female Talz	50	1
Male Togruta	234	0
Female Togruta	234	1
Male Weequay	55	0
Female Weequay	55	1
