male_template	female_template	min_health	max_health	min_strength	max_strength	min_constitution	max_constitution	min_action	max_action	min_quickness	max_quickness	min_stamina	max_stamina	min_mind	max_mind	min_focus	max_focus	min_willpower	max_willpower	total
s	s	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
bothan_male	bothan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
human_male	human_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
moncal_male	moncal_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
rodian_male	rodian_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
trandoshan_male	trandoshan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
twilek_male	twilek_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
wookiee_male	wookiee_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
zabrak_male	zabrak_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
sullustan_male	sullustan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
ithorian_male	ithorian_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
abyssin_male	abyssin_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
aqualish_male	aqualish_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
arcona_male	arcona_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
bith_male	bith_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
cerean_male	cerena_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
chiss_male	chiss_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
devaronian_male	devaronian_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
duros_male	duros_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
gotal_male	gotal_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
gran_male	gran_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
hutt_male	hutt_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
iktotchi_male	iktotchi_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
ishi_tib_male	ishi_tib_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
jenet_male	jenet_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
kadassa_male	kadassa_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
kel_dor_male	kel_dor_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
klatooinian_male	klatooinian_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
kubaz_male	kubaz_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
marauder_male	marauder_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
nautolan_male	nautolan_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
nightsister_female	nightsister_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
nikto_male	nikto_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
quarren_male	quarren_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
talz_male	talz_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
togruta_female	togruta_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
smc_female	smc_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
weequay_male	weequay_male	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
