male_template	female_template	health	strength	constitution	action	quickness	stamina	mind	focus	willpower
s	s	I	I	I	I	I	I	I	I	I
bothan_male	bothan_female	0	0	0	0	0	0	0	0	0
human_male	human_female	0	0	0	0	0	0	0	0	0
moncal_male	moncal_female	0	0	0	0	0	0	0	0	0
rodian_male	rodian_female	0	0	0	0	0	0	0	0	0
trandoshan_male	trandoshan_female	0	0	0	0	0	0	0	0	0
twilek_male	twilek_female	0	0	0	0	0	0	0	0	0
wookiee_male	wookiee_female	0	0	0	0	0	0	0	0	0
zabrak_male	zabrak_female	0	0	0	0	0	0	0	0	0
sullustan_male	sullustan_female	0	0	0	0	0	0	0	0	0
ithorian_male	ithorian_female	0	0	0	0	0	0	0	0	0
abyssin_male	abyssin_female	0	0	0	0	0	0	0	0	0
aqualish_male	aqualish_female	0	0	0	0	0	0	0	0	0
arcona_male	arcona_female	0	0	0	0	0	0	0	0	0
bith_male	bith_female	0	0	0	0	0	0	0	0	0
cerean_male	cerena_female	0	0	0	0	0	0	0	0	0
chiss_male	chiss_female	0	0	0	0	0	0	0	0	0
devaronian_male	devaronian_male	0	0	0	0	0	0	0	0	0
duros_male	duros_male	0	0	0	0	0	0	0	0	0
gotal_male	gotal_male	0	0	0	0	0	0	0	0	0
gran_male	gran_male	0	0	0	0	0	0	0	0	0
hutt_male	hutt_male	0	0	0	0	0	0	0	0	0
iktotchi_male	iktotchi_male	0	0	0	0	0	0	0	0	0
ishi_tib_male	ishi_tib_male	0	0	0	0	0	0	0	0	0
jenet_male	jenet_male	0	0	0	0	0	0	0	0	0
kadassa_male	kadassa_male	0	0	0	0	0	0	0	0	0
kel_dor_male	kel_dor_male	0	0	0	0	0	0	0	0	0
klatooinian_male	klatooinian_male	0	0	0	0	0	0	0	0	0
kubaz_male	kubaz_male	0	0	0	0	0	0	0	0	0
marauder_male	marauder_female	0	0	0	0	0	0	0	0	0
nautolan_male	nautolan_male	0	0	0	0	0	0	0	0	0
nightsister_female	nightsister_female	0	0	0	0	0	0	0	0	0
nikto_male	nikto_male	0	0	0	0	0	0	0	0	0
quarren_male	quarren_male	0	0	0	0	0	0	0	0	0
talz_male	talz_female	0	0	0	0	0	0	0	0	0
togruta_female	togruta_female	0	0	0	0	0	0	0	0	0
smc_female	smc_female	0	0	0	0	0	0	0	0	0
weequay_male	weequay_male	0	0	0	0	0	0	0	0	0
