SPECIES_GENDER	ALLOW_BALD
s	b[1]
moncal_female	1
moncal_male	1
bothan_female	1
bothan_male	1
zabrak_female	0
zabrak_male	0
twilek_female	0
twilek_male	0
trandoshan_female	0
trandoshan_male	0
wookiee_female	1
wookiee_male	1
rodian_female	1
rodian_male	1
human_female	1
human_male	1
sullustan_female	1
sullustan_male	1
chiss_male	0
hutt_male	0
hutt_female	0
nautolan_male	0
togruta_female	0
chiss_female	0
aqualish_male	0
aqualish_female	0
klatooinian_male	0
jenet_male	0
kadassa_male	0
kubaz_male	0
kel_dor_male	0
iktotchi_male	0
cerean_male	0
abyssin_male	0
arcona_male	0
marauder_male	0
marauder_female	0
duros_male	0
bith_male	0
bith_female	0
smc_female	0
nightsister_female	0
